x,kde,ekf_gaussian
-19.992121018176221,4.9511513242258827e-05,0.012625005766920855
-19.967250791704938,5.1397562666247053e-05,0.013003211908855603
-19.942380565233655,5.3339841398920981e-05,0.01339063131052781
-19.917510338762369,5.5339315971279265e-05,0.013787414191073318
-19.892640112291087,5.739693814610229e-05,0.014193710727811325
-19.867769885819804,5.9513643231163772e-05,0.014609670958672147
-19.842899659348518,6.169034835414356e-05,0.015035444681853076
-19.818029432877236,6.3927950700915913e-05,0.015471181352717855
-19.793159206405953,6.622732571902795e-05,0.015917029977958606
-19.76828897993467,6.8589325288312809e-05,0.01637313900704114
-19.743418753463388,7.101477586073351e-05,0.016839656220960345
-19.718548526992102,7.3504476571689155e-05,0.017316728618334595
-19.693678300520819,7.6059197325152594e-05,0.017804502298872434
-19.668808074049537,7.8679676855157924e-05,0.01830312234424946
-19.643937847578254,8.1366620766281769e-05,0.018812732696435464
-19.619067621106971,8.4120699555911084e-05,0.019333476033517847
-19.594197394635685,8.6942546621221169e-05,0.019865493643070345
-19.569327168164403,8.9832756253917456e-05,0.020408925293120002
-19.54445694169312,9.2791881625936738e-05,0.020963909100771175
-19.519586715221838,9.5820432769414178e-05,0.021530581398546741
-19.494716488750555,9.8918874554362825e-05,0.022109076598513744
-19.469846262279269,0.00010208762466762287,0.022699527054263428
-19.444976035807986,0.00010532705159675437,0.023302062920819811
-19.420105809336704,0.00010863747262266633,0.023916812012557114
-19.395235582865418,0.0001120191518248656,0.024543899659207686
-19.370365356394139,0.00011547229810332037,0.025183448560048772
-19.345495129922853,0.00011899706322103115,0.025835578636361566
-19.32062490345157,0.00012259353987146215,0.026500406882255485
-19.295754676980287,0.00012626175977510797,0.027178047213962716
-19.270884450509001,0.00013000169180950099,0.027868610317704701
-19.246014224037719,0.0001338132401770535,0.028572203496241091
-19.221143997566436,0.00013769624261518424,0.029288930514215949
-19.196273771095154,0.00014165046865320891,0.030018891442417064
-19.171403544623871,0.00014567561792053229,0.03076218250107202
-19.146533318152585,0.00014977131851069597,0.031518895902306797
-19.121663091681302,0.00015393712540585452,0.032289119691896621
-19.09679286521002,0.00015817251896627351,0.033072937590445307
-19.071922638738737,0.00016247690348941972,0.03387042883412901
-19.047052412267455,0.00016684960584322113,0.034681668015148423
-19.022182185796169,0.00017128987417803991,0.035506724922034771
-18.997311959324886,0.00017579687672186452,0.036345664379958849
-18.972441732853603,0.00018036970066319537,0.037198546091198013
-18.947571506382317,0.00018500735112601596,0.038065424475915911
-18.922701279911038,0.00018970875024118999,0.038946348513415684
-18.897831053439752,0.000194472736318549,0.039841361584032425
-18.87296082696847,0.00019929806312380142,0.04075050131182608
-18.848090600497187,0.00020418339926435103,0.041673799408250757
-18.823220374025901,0.00020912732768793156,0.042611281516967574
-18.798350147554622,0.00021412834529787152,0.043562967059977829
-18.773479921083336,0.00021918486268866243,0.044528869085256231
-18.748609694612053,0.00022429520400530967,0.045508994116058112
-18.723739468140771,0.00022945760692984253,0.046503342002090005
-18.698869241669485,0.0002346702227981189,0.047511905772721297
-18.673999015198206,0.00023993111684990934,0.048534671492425262
-18.649128788726919,0.00024523826861504638,0.049571618118638597
-18.624258562255637,0.00025058957243817028,0.050622717362222409
-18.599388335784354,0.00025598283814445166,0.051687933550721772
-18.574518109313068,0.00026141579184836555,0.052767223494608544
-18.549647882841786,0.00026688607690739856,0.053860536356701551
-18.524777656370503,0.00027239125502230782,0.054967813524957096
-18.499907429899221,0.00027792880748526972,0.056088988488819172
-18.475037203427938,0.00028349613657701749,0.05722398671932391
