x,kde,ekf_gaussian
-25.236378740547543,3.5916006225101345e-06,7.3256283680416933e-07
-25.204164646056416,3.7541380915286849e-06,7.9466575478530792e-07
-25.171950551565285,3.923603200577157e-06,8.6180487543383392e-07
-25.139736457074157,4.1002708823818412e-06,9.3436858640078918e-07
-25.107522362583026,4.2844260567536887e-06,1.0127735367235688e-06
-25.075308268091895,4.4763639533375342e-06,1.0974665559964936e-06
-25.043094173600768,4.6763904431373633e-06,1.188926693175297e-06
-25.01088007910964,4.8848223789909734e-06,1.2876673816756288e-06
-24.978665984618509,5.1019879451671817e-06,1.3942387377394557e-06
-24.946451890127378,5.3282270162604506e-06,1.5092299993679871e-06
-24.91423779563625,5.5638915255577948e-06,1.6332721134552898e-06
-24.882023701145123,5.8093458430536417e-06,1.7670404791032363e-06
-24.849809606653992,6.0649671632875253e-06,1.9112578554560162e-06
-24.81759551216286,6.3311459031815111e-06,2.0666974427613262e-06
-24.785381417671733,6.6082861100526767e-06,2.2341861457450292e-06
-24.753167323180602,6.8968058799764304e-06,2.4146080287770443e-06
-24.720953228689474,7.1971377866755957e-06,2.6089079727076717e-06
-24.688739134198343,7.5097293211115409e-06,2.8180955436670289e-06
-24.656525039707216,7.8350433419496958e-06,3.043249084542778e-06
-24.624310945216084,8.1735585370744532e-06,3.285520040286425e-06
-24.592096850724957,8.5257698963248242e-06,3.5461375286415169e-06
-24.559882756233826,8.892189195622726e-06,3.8264131683431227e-06
-24.527668661742695,9.2733454926625526e-06,4.1277461773003219e-06
-24.495454567251567,9.6697856343314553e-06,4.4516287537485369e-06
-24.46324047276044,1.0082074776025137e-05,4.7996517538401599e-06
-24.431026378269308,1.0510796913024405e-05,5.1735106796329064e-06
-24.398812283778177,1.0956555424092923e-05,5.5750119919341519e-06
-24.36659818928705,1.1419973627457064e-05,6.0060797629662834e-06
-24.334384094795922,1.1901695349322638e-05,6.4687626843297257e-06
-24.302170000304791,1.2402385505082418e-05,6.9652414462594102e-06
-24.26995590581366,1.2922730693364578e-05,7.4978365046939359e-06
-24.237741811322532,1.3463439803068121e-05,8.069016253204659e-06
-24.205527716831401,1.4025244633527857e-05,8.68140561736232e-06
-24.173313622340274,1.4608900527946451e-05,9.3377950896510093e-06
-24.141099527849143,1.5215187020229223e-05,1.0041150223575201e-05
-24.108885433358015,1.5844908495347517e-05,1.0794621606135438e-05
-24.076671338866884,1.6498894863358321e-05,1.1601555328384144e-05
-24.044457244375756,1.7178002247194679e-05,1.2465503974296393e-05
-24.012243149884625,1.7883113684342937e-05,1.3390238148720039e-05
-23.980029055393494,1.8615139842511178e-05,1.4379758565680651e-05
-23.947814960902367,1.9375019749389895e-05,1.5438308718831437e-05
-23.915600866411239,2.0163721536598542e-05,1.6570388156334838e-05
-23.883386771920108,2.0982243197903283e-05,1.7780766382948872e-05
-23.851172677428977,2.1831613361785504e-05,1.9074497412566554e-05
-23.818958582937849,2.271289207843138e-05,2.0456934994913591e-05
-23.786744488446722,2.3627171621206415e-05,2.1933748540546596e-05
-23.754530393955591,2.4575577302666213e-05,2.3510939768711021e-05
-23.72231629946446,2.5559268305150213e-05,2.5194860103013598e-05
-23.690102204973332,2.6579438525995177e-05,2.6992228840231119e-05
-23.657888110482201,2.7637317437389999e-05,2.8910152117914757e-05
-23.625674015991073,2.8734170960890887e-05,3.0956142706753864e-05
-23.593459921499942,2.9871302356599548e-05,3.3138140653940962e-05
-23.561245827008815,3.1050053126998375e-05,3.5464534804002093e-05
-23.529031732517684,3.2271803935423864e-05,3.794418522376146e-05
-23.496817638026556,3.3537975539149307e-05,4.0586446558239768e-05
-23.464603543535425,3.485002973703346e-05,4.3401192344401765e-05
-23.432389449044297,3.620947033167815e-05,4.6398840309694893e-05
-23.400175354553166,3.7617844106030132e-05,4.9590378682331469e-05
-23.367961260062039,3.9076741814339153e-05,5.2987393540173999e-05
-23.335747165570908,4.0587799187379309e-05,5.6602097224974671e-05
-23.303533071079777,4.2152697951820483e-05,6.0447357848493323e-05
-23.271318976588649,4.3773166863621542e-05,6.4536729916764841e-05
-23.239104882097521,4.5450982755306347e-05,6.8884486098426458e-05
-23.20689078760639,4.7187971596959463e-05,7.3505650162585345e-05
-23.174676693115259,4.8986009570767066e-05,7.8416031111192442e-05
-23.142462598624132,5.0847024158914509e-05,8.363225853028842e-05
-23.110248504133004,5.2772995244622096e-05,8.917181918377869e-05
-23.078034409641873,5.4765956226100656e-05,9.5053094872600999e-05
-23.045820315150742,5.6827995143169681e-05,0.00010129540158124583
-23.013606220659614,5.8961255816279381e-05,0.00010791902993258742
-22.981392126168483,6.1167938997649092e-05,0.00011494528697084977
-22.949178031677356,6.3450303534212966e-05,0.00012239653929129168
-22.916963937186225,6.5810667542051023e-05,0.00013029625753385317
-22.884749842695093,6.8251409591955439e-05,0.00013866906225648226
-22.852535748203966,7.0774969905765373e-05,0.00014754077120227569
-22.820321653712838,7.3383851563076942e-05,0.00015693844797279096
-22.788107559221707,7.6080621717919392e-05,0.0001668904521179901
-22.755893464730576,7.8867912824953228e-05,0.00017742649065124119
-22.723679370239449,8.1748423874740907e-05,0.00018857767099561879
-22.691465275748321,8.4724921637601588e-05,0.00020037655536538952
-22.65925118125719,8.7800241915541574e-05,0.00021285721658406573
-22.627037086766059,9.0977290801727432e-05,0.00022605529533776267
-22.594822992274931,9.4259045946951261e-05,0.00024000805885976634
-22.562608897783804,9.7648557832498575e-05,0.00025475446103921786
-22.530394803292673,0.00010114895104881062,0.00027033520394365322
-22.498180708801542,0.00010476342557930583,0.00028679280074180708
-22.465966614310414,0.00010849525808870701,0.00030417164000958379
-22.433752519819286,0.000112347803215171,0.00032251805139838917
